Project_ID,Ontology Layer,Teleology Layer 
Project_0,Ontology_0,Teleology_0
Project_1,Ontology_1,Teleology_1
Project_2,Ontology_2,Teleology_2
Project_3,Ontology_3,Teleology_3
Project_5,Ontology_5,Teleology_5
Project_6,Ontology_6,Teleology_6
Project_7,Ontology_7,Teleology_7
Project_8,Ontology_8,Teleology_8
Project_9,Ontology_9,Teleology_9
Project_10,Ontology_10,Teleology_10
Project_11,Ontology_11,Teleology_11
Project_12,Ontology_12,Teleology_12
Project_13,Ontology_13,Teleology_13
