Page_ID,Source,Maintainer
Home_page,http://datascientia.disi.unitn.it,41
Live_knowledge,http://datascientia/liveknowledge.eu,41
Live_data,http://datascientia/livedata.eu,41
Live_language,http://datascientia/livelanguage.eu,41
Live_people,http://datascientia/livepeople.eu,41
Project_page,http://datascientia/liveproject.eu,41
